Theme,Youth Medium,Small,Medium,Large,XL,XXL
1/2 Way to St. Pats,0.00%,9.25%,14.37%,26.37%,28.61%,21.39%
90's Night,0.00%,7.74%,15.23%,25.93%,31.18%,19.92%
AAPIH Day,0.00%,11.72%,19.72%,27.38%,23.77%,17.42%
Bikers,0.00%,7.58%,13.64%,23.94%,30.00%,24.85%
Black Heritage,2.52%,1.17%,16.50%,28.28%,32.64%,18.90%
Boy Band Night,0.00%,12.94%,21.02%,26.31%,23.93%,15.80%
Celebrate Disability Night,0.00%,13.04%,13.04%,26.09%,32.61%,15.22%
Christmas in July,0.00%,9.84%,14.62%,28.09%,26.27%,21.18%
Classical Music,0.00%,10.97%,22.72%,22.19%,22.98%,21.15%
College Night,0.00%,9.10%,21.17%,36.48%,21.82%,11.43%
College Night 1,0.00%,9.35%,15.11%,22.30%,40.29%,12.95%
College Night 2,0.00%,9.48%,26.99%,32.46%,20.56%,10.51%
DC Comics,10.29%,12.14%,17.54%,22.58%,21.17%,16.28%
Emily Henry,0.00%,9.36%,25.58%,28.22%,23.68%,13.16%
EMO,0.00%,10.89%,16.81%,32.16%,23.77%,16.38%
ERA Night,1.76%,7.56%,14.98%,27.34%,30.39%,17.97%
Fiesta Cardenales,3.49%,15.11%,18.79%,25.31%,21.69%,15.62%
Grateful Dead,0.00%,8.95%,18.96%,27.93%,26.94%,17.22%
Harry Potter,5.57%,13.72%,18.06%,24.08%,20.76%,17.80%
KMOX,0.00%,11.41%,14.07%,41.44%,20.53%,12.55%
KSDK,0.00%,12.50%,20.83%,29.17%,15.28%,22.22%
Looney Tunes,2.19%,10.00%,13.15%,25.48%,29.04%,20.14%
Ludo,0.00%,14.75%,22.57%,24.27%,20.49%,17.91%
Margaritaville,0.00%,7.98%,17.32%,27.42%,29.16%,18.12%
Military Night,0.00%,11.14%,18.95%,27.43%,25.52%,16.96%
Nurses Day,0.00%,15.54%,20.59%,26.76%,23.00%,14.10%
Nurses Night,0.00%,16.78%,21.62%,27.85%,21.80%,11.95%
Pride,1.34%,1.58%,28.12%,31.22%,24.11%,13.63%
Shakespeare,0.00%,12.89%,23.20%,23.09%,24.49%,16.33%
St. Louis Blues,0.00%,6.82%,13.96%,26.32%,31.06%,21.84%
Star Wars,9.38%,10.51%,17.41%,25.07%,21.42%,16.22%
Teachers Night,0.00%,11.46%,24.26%,27.91%,24.30%,12.07%
Teachers Night 2,0.00%,14.42%,22.58%,29.68%,23.59%,9.73%
The Home Team,0.00%,14.43%,15.92%,28.86%,23.88%,16.92%
Top Gun,0.00%,10.57%,21.20%,27.48%,26.69%,14.07%
WWE,5.84%,8.62%,11.96%,28.65%,23.92%,21.00%
