GameDate,FormattedDate,Age,YEAR,Theme,ThemeCategory5,Month,ThemeCategory6,Popular,LocationInHomestand,EVENTSCORE,NOSHOW,PCONSID,MONTHUER,TEMPAVGHIGH,TEMPAVGLOW,Item,Promo,TwoThemes,TimeofDay,Day_OF_WEEK,OPPONENT,TIX35DAYSAFTER,threefivedaysvstotal,ThemeTixRelativetoTotal,TotalTix,TICKETS,QUANTITY,PRICE,BRANDED,OPPONENTCAT,ThemeNoShow
"Tuesday, April 12, 2022",4/12/2022,Old,2022,Peanuts #1,Kids,April,Kids_Family,N,Late,"96	",0.2,30841,3.21,78,49,Bobblehead,N,N,N,Tuesday,PIT,228,0.23,0.0246,40398,1873,1150,7.53,N,2,0.41
"Monday, April 25, 2022",4/25/2022,Old,2022,College Night #1,College,April,College,N,First,"80	",0.28,25658,3.21,59,48,Shirt,N,N,N,Monday,NYM,139,0.32,0.0123,35455,436,850,7.53,N,4,0.15
"Tuesday, April 26, 2022",4/26/2022,Old,2022,Budweiser Bash #1,Budweiser Bash,April,Sport_FanExperience,N,Early,"63	",0.3,18486,3.21,61,39,Bobblehead,N,N,N,Tuesday,NYM,103,0.12,0.0261,32215,842,600,7.7,N,4,0.16
"Thursday, April 28, 2022",4/28/2022,Old,2022,College Night #2,College,April,College,Y,Middle,"59	",0.39,18647,3.21,70,57,Shirt,N,Y,N,Thursday,ARI,131,0.31,0.0126,33464,422,1000,11.45,Y,2,0.2
"Friday, April 29, 2022",4/29/2022,Old,2022,Grateful Dead,Grateful Dead,April,PopCulture_Entertainment,Y,Middle,"129	",0.13,37169,3.21,70,58,Jersey,Y,N,N,Friday,ARI,518,0.1,0.1242,40753,5063,5500,10,N,2,0.05
"Sunday, May 1, 2022",5/1/2022,Old,2022,Sesame Street,Kids,May,Kids_Family,Y,Late,"129	",0.15,33618,3.27,72,55,Bobblehead,Y,N,D,Sunday,ARI,177,0.13,0.0312,45123,1406,750,6.95,N,2,0.03
"Tuesday, May 10, 2022",5/10/2022,Old,2022,Class of 2022,Graduation,May,Sport_FanExperience,N,First,"73	",0.32,22449,3.27,90,71,Shirt,N,Y,N,Tuesday,BAL,165,0.28,0.0178,33649,772,750,7.5,N,4,0.16
"Tuesday, May 10, 2022",5/10/2022,Old,2022,Budweiser Bash #2,Budweiser Bash,May,College,N,First,"73	",0.32,22449,3.27,90,71,Bobblehead,N,Y,N,Tuesday,BAL,207,0.27,0.0229,33649,600,2500,3.8,Y,4,0.15
"Wednesday, May 11, 2022",5/11/2022,Old,2022,Nurses Night,Nurses,May,ProfessionalIdentity,Y,Early,"65	",0.31,17665,3.27,94,74,Hat,N,N,N,Wednesday,BAL,110,0.14,0.0235,34533,1409,2250,4.85,N,4,0.06
"Thursday, May 12, 2022",5/12/2022,Old,2022,Nurses Day #1,Nurses,May,ProfessionalIdentity,Y,Middle,"83	",0.32,24627,3.27,93,74,Hat,N,N,D,Thursday,SFG,99,0.07,0.04,35198,1409,2250,4.85,N,2,0.46
"Friday, May 13, 2022",5/13/2022,Old,2022,Friends,Other,May,PopCulture_Entertainment,Y,Middle,"120	",0.18,32411,3.27,88,71,Item,Y,N,N,Friday,SFG,132,0.07,0.0479,39612,1898,2000,5.35,N,2,0.05
"Monday, May 23, 2022",5/23/2022,Old,2022,Cancer Awareness,Cancer Awareness,May,CommunityDays,N,First,"93	",0.22,27036,3.27,68,50,Hat,N,Y,N,Monday,TOR,331,0.29,0.0316,36033,1137,1250,7.25,Y,3,0.11
"Tuesday, May 24, 2022",5/24/2022,Old,2022,Shakespeare,Other,May,Music_Festivals,N,Early,"70	",0.26,19218,3.27,73,55,Shirt,N,N,N,Tuesday,TOR,213,0.39,0.0161,33797,544,750,3.75,Y,3,0.09
"Thursday, May 26, 2022",5/26/2022,Old,2022,Mental Health Awareness,Mental Health Awareness,May,CommunityDays,N,Early,"96	",0.3,30739,3.27,73,58,Hat,N,N,N,Thursday,MIL,52,0.09,0.0161,35107,564,5200,7.8,N,2,0.16
"Friday, May 27, 2022",5/27/2022,Old,2022,Margaritaville,Margaritaville,May,Music_Festivals,Y,Middle,"135	",0.16,37427,3.27,67,57,Longsleeve Shirt,Y,N,N,Friday,MIL,631,0.15,0.1078,39077,4211,715,9.35,N,2,0.08
"Sunday, May 29, 2022",5/29/2022,Old,2022,SEMO,College,May,College,N,Middle,"134	",0.14,30228,3.27,87,65,Shirt,Y,N,D,Sunday,MIL,195,0.34,0.0128,44169,566,510,9.6,N,2,0.12
"Monday, May 30, 2022",5/30/2022,Old,2022,Bikers,Other,May,ProfessionalIdentity,N,Late,"155	",0.12,46126,3.27,88,70,Shirt,Y,N,D,Monday,SDP,195,0.41,0.0113,42140,476,1600,8,Y,4,0.13
"Tuesday, May 31, 2022",5/31/2022,Old,2022,Racing,Other,May,Sport_FanExperience,N,Late,"79	",0.28,23433,3.27,89,74,Bobblehead,N,N,N,Tuesday,SDP,139,0.14,0.0293,33418,980,2600,8.85,N,4,0.08
"Friday, June 10, 2022",6/10/2022,Old,2022,Pride,Pride,June,CommunityDays,Y,First,"171	",0.12,46670,3.73,82,67,Shirt,Y,N,N,Friday,CIN,441,0.19,0.0529,45009,2382,3100,13.25,N,1,0.07
